element_id,tests,docs,examples,missing
envoy.config.cluster.v3/Cluster,339,71,1,""
envoy.config.cluster.v3/ClusterCollection,0,0,0,"docs.reference|examples|tests"
envoy.config.cluster.v3/LoadBalancingPolicy,0,0,0,"docs.reference|examples|tests"
envoy.config.cluster.v3/TrackClusterStats,0,0,0,"docs.reference|examples|tests"
envoy.config.cluster.v3/UpstreamConnectionOptions,5,1,0,"examples"
envoy.config.listener.v3/AdditionalAddress,0,0,0,"docs.reference|examples|tests"
envoy.config.listener.v3/Listener,146,45,1,""
envoy.config.listener.v3/ListenerCollection,0,0,0,"docs.reference|examples|tests"
envoy.config.route.v3/RouteConfiguration,82,22,1,""
envoy.config.route.v3/Vhds,0,0,0,"docs.reference|examples|tests"
envoy.service.cluster.v3/CdsDummy,0,0,0,"docs.reference|examples|tests"
envoy.service.cluster.v3/ClusterDiscoveryService,0,1,0,"examples|tests"
envoy.service.cluster.v3/ClusterDiscoveryService.DeltaClusters,0,0,0,"docs.reference|examples|tests"
envoy.service.cluster.v3/ClusterDiscoveryService.FetchClusters,0,0,0,"docs.reference|examples|tests"
envoy.service.cluster.v3/ClusterDiscoveryService.StreamClusters,0,1,0,"examples|tests"
envoy.service.discovery.v3/AdsDummy,0,0,0,"docs.reference|examples|tests"
envoy.service.discovery.v3/AggregatedDiscoveryService,5,1,0,"examples"
envoy.service.discovery.v3/AggregatedDiscoveryService.DeltaAggregatedResources,0,0,0,"docs.reference|examples|tests"
envoy.service.discovery.v3/AggregatedDiscoveryService.StreamAggregatedResources,5,1,0,"examples"
envoy.service.discovery.v3/DeltaDiscoveryRequest,18,27,0,"examples"
envoy.service.discovery.v3/DeltaDiscoveryResponse,28,14,0,"examples"
envoy.service.discovery.v3/DiscoveryRequest,16,44,0,"examples"
envoy.service.discovery.v3/DiscoveryResponse,73,30,0,"examples"
envoy.service.discovery.v3/DynamicParameterConstraints,0,0,0,"docs.reference|examples|tests"
envoy.service.discovery.v3/Resource,26,6,0,"examples"
envoy.service.discovery.v3/ResourceError,0,0,0,"docs.reference|examples|tests"
envoy.service.discovery.v3/ResourceLocator,0,0,0,"docs.reference|examples|tests"
envoy.service.discovery.v3/ResourceName,0,0,0,"docs.reference|examples|tests"
envoy.service.endpoint.v3/EdsDummy,0,0,0,"docs.reference|examples|tests"
envoy.service.endpoint.v3/EndpointDiscoveryService,25,1,0,"examples"
envoy.service.endpoint.v3/EndpointDiscoveryService.DeltaEndpoints,0,0,0,"docs.reference|examples|tests"
envoy.service.endpoint.v3/EndpointDiscoveryService.FetchEndpoints,15,0,0,"docs.reference|examples"
envoy.service.endpoint.v3/EndpointDiscoveryService.StreamEndpoints,19,1,0,"examples"
envoy.service.endpoint.v3/LedsDummy,0,0,0,"docs.reference|examples|tests"
envoy.service.endpoint.v3/LocalityEndpointDiscoveryService,0,0,0,"docs.reference|examples|tests"
envoy.service.endpoint.v3/LocalityEndpointDiscoveryService.DeltaLocalityEndpoints,0,0,0,"docs.reference|examples|tests"
envoy.service.extension.v3/EcdsDummy,0,0,0,"docs.reference|examples|tests"
envoy.service.extension.v3/ExtensionConfigDiscoveryService,0,0,0,"docs.reference|examples|tests"
envoy.service.extension.v3/ExtensionConfigDiscoveryService.DeltaExtensionConfigs,0,0,0,"docs.reference|examples|tests"
envoy.service.extension.v3/ExtensionConfigDiscoveryService.FetchExtensionConfigs,0,0,0,"docs.reference|examples|tests"
envoy.service.extension.v3/ExtensionConfigDiscoveryService.StreamExtensionConfigs,0,0,0,"docs.reference|examples|tests"
envoy.service.listener.v3/LdsDummy,0,0,0,"docs.reference|examples|tests"
envoy.service.listener.v3/ListenerDiscoveryService,0,1,0,"examples|tests"
envoy.service.listener.v3/ListenerDiscoveryService.DeltaListeners,0,0,0,"docs.reference|examples|tests"
envoy.service.listener.v3/ListenerDiscoveryService.FetchListeners,0,0,0,"docs.reference|examples|tests"
envoy.service.listener.v3/ListenerDiscoveryService.StreamListeners,0,1,0,"examples|tests"
envoy.service.route.v3/RdsDummy,1,0,0,"docs.reference|examples"
envoy.service.route.v3/RouteDiscoveryService,1,1,0,"examples"
envoy.service.route.v3/RouteDiscoveryService.DeltaRoutes,1,0,0,"docs.reference|examples"
envoy.service.route.v3/RouteDiscoveryService.FetchRoutes,1,0,0,"docs.reference|examples"
envoy.service.route.v3/RouteDiscoveryService.StreamRoutes,1,1,0,"examples"
envoy.service.route.v3/ScopedRoutesDiscoveryService,0,1,0,"examples|tests"
envoy.service.route.v3/ScopedRoutesDiscoveryService.DeltaScopedRoutes,0,0,0,"docs.reference|examples|tests"
envoy.service.route.v3/ScopedRoutesDiscoveryService.FetchScopedRoutes,0,0,0,"docs.reference|examples|tests"
envoy.service.route.v3/ScopedRoutesDiscoveryService.StreamScopedRoutes,0,1,0,"examples|tests"
envoy.service.route.v3/SrdsDummy,0,0,0,"docs.reference|examples|tests"
envoy.service.route.v3/VirtualHostDiscoveryService,0,0,0,"docs.reference|examples|tests"
envoy.service.route.v3/VirtualHostDiscoveryService.DeltaVirtualHosts,0,0,0,"docs.reference|examples|tests"
envoy.service.runtime.v3/RtdsDummy,0,0,0,"docs.reference|examples|tests"
envoy.service.runtime.v3/Runtime,14,2,0,"examples"
envoy.service.runtime.v3/RuntimeDiscoveryService,0,1,0,"examples|tests"
envoy.service.runtime.v3/RuntimeDiscoveryService.DeltaRuntime,0,0,0,"docs.reference|examples|tests"
envoy.service.runtime.v3/RuntimeDiscoveryService.FetchRuntime,0,0,0,"docs.reference|examples|tests"
envoy.service.runtime.v3/RuntimeDiscoveryService.StreamRuntime,0,1,0,"examples|tests"
envoy.service.secret.v3/SdsDummy,3,0,0,"docs.reference|examples"
envoy.service.secret.v3/SecretDiscoveryService,0,1,0,"examples|tests"
envoy.service.secret.v3/SecretDiscoveryService.DeltaSecrets,0,0,0,"docs.reference|examples|tests"
envoy.service.secret.v3/SecretDiscoveryService.FetchSecrets,0,0,0,"docs.reference|examples|tests"
envoy.service.secret.v3/SecretDiscoveryService.StreamSecrets,0,1,0,"examples|tests"
