element_id,tests,docs,examples,missing
ffx,0,1,0,"examples|tests"
ffx --config,1,1,3,""
ffx --direct,0,1,0,"examples|tests"
ffx --env,0,1,0,"examples|tests"
ffx --isolate-dir,0,1,1,"tests"
ffx --log-level,0,1,0,"examples|tests"
ffx --log-output,0,1,0,"examples|tests"
ffx --machine,13,3,1,""
ffx --no-environment,0,1,0,"examples|tests"
ffx --schema,0,1,0,"examples|tests"
ffx --stamp,0,1,0,"examples|tests"
ffx --strict,0,2,0,"examples|tests"
ffx --target,2,1,3,""
ffx --timeout,0,1,0,"examples|tests"
ffx --verbose,0,1,0,"examples|tests"
ffx assembly,7,1,2,""
ffx assembly board-input-bundle,0,1,0,"examples|tests"
ffx assembly board-input-bundle --base-packages,0,1,0,"examples|tests"
ffx assembly board-input-bundle --bootfs-packages,0,1,0,"examples|tests"
ffx assembly board-input-bundle --cpu-manager-config,0,1,0,"examples|tests"
ffx assembly board-input-bundle --depfile,0,1,0,"examples|tests"
ffx assembly board-input-bundle --drivers,0,1,0,"examples|tests"
ffx assembly board-input-bundle --energy-model-config,0,1,0,"examples|tests"
ffx assembly board-input-bundle --kernel-boot-args,0,1,0,"examples|tests"
ffx assembly board-input-bundle --outdir,0,1,0,"examples|tests"
ffx assembly board-input-bundle --power-manager-config,0,1,0,"examples|tests"
ffx assembly board-input-bundle --power-metrics-recorder-config,0,1,0,"examples|tests"
ffx assembly board-input-bundle --sysmem-format-costs-config,0,1,0,"examples|tests"
ffx assembly board-input-bundle --system-power-mode-config,0,1,0,"examples|tests"
ffx assembly board-input-bundle --thermal-config,0,1,0,"examples|tests"
ffx assembly board-input-bundle --thread-roles,0,1,0,"examples|tests"
ffx assembly create-system,0,1,1,"tests"
ffx assembly create-system --base-package-name,0,1,0,"examples|tests"
ffx assembly create-system --gendir,0,1,0,"examples|tests"
ffx assembly create-system --image-assembly-config,0,1,0,"examples|tests"
ffx assembly create-system --include-account,0,1,0,"examples|tests"
ffx assembly create-system --mode,0,1,0,"examples|tests"
ffx assembly create-system --outdir,0,1,0,"examples|tests"
ffx assembly create-system --platform,0,1,0,"examples|tests"
ffx assembly create-update,0,1,1,"tests"
ffx assembly create-update --board-name,0,1,0,"examples|tests"
ffx assembly create-update --epoch,0,1,0,"examples|tests"
ffx assembly create-update --gendir,0,1,0,"examples|tests"
ffx assembly create-update --outdir,0,1,0,"examples|tests"
ffx assembly create-update --partitions,0,1,0,"examples|tests"
ffx assembly create-update --rewrite-default-repo,0,1,0,"examples|tests"
ffx assembly create-update --subpackage-blobs-package-name,0,1,0,"examples|tests"
ffx assembly create-update --system-a,0,1,0,"examples|tests"
ffx assembly create-update --system-r,0,1,0,"examples|tests"
ffx assembly create-update --update-package-name,0,1,0,"examples|tests"
ffx assembly create-update --version-file,0,1,0,"examples|tests"
ffx assembly product,2,1,0,"examples"
ffx assembly product --board-config,0,1,0,"examples|tests"
ffx assembly product --board-input-bundle-sets,0,1,0,"examples|tests"
ffx assembly product --custom-boot-shim-aib,0,1,0,"examples|tests"
ffx assembly product --custom-kernel-aib,0,1,0,"examples|tests"
ffx assembly product --developer-overrides,0,1,0,"examples|tests"
ffx assembly product --gendir,0,1,0,"examples|tests"
ffx assembly product --include-example-aib-for-tests,0,1,0,"examples|tests"
ffx assembly product --input-bundles-dir,0,1,0,"examples|tests"
ffx assembly product --mode,0,1,0,"examples|tests"
ffx assembly product --outdir,0,1,0,"examples|tests"
ffx assembly product --package-validation,0,1,0,"examples|tests"
ffx assembly product --product,0,1,0,"examples|tests"
ffx assembly product --product-input-bundles,0,1,0,"examples|tests"
ffx assembly product --suppress-overrides-warning,0,1,0,"examples|tests"
ffx assembly size-check,0,1,0,"examples|tests"
ffx assembly size-check package,11,1,0,"examples"
ffx assembly size-check package --blob-sizes,0,1,0,"examples|tests"
ffx assembly size-check package --blobfs-layout,0,1,0,"examples|tests"
ffx assembly size-check package --budgets,0,1,0,"examples|tests"
ffx assembly size-check package --gerrit-output,0,1,0,"examples|tests"
ffx assembly size-check package --verbose,0,1,0,"examples|tests"
ffx assembly size-check package --verbose-json-output,0,1,0,"examples|tests"
ffx assembly size-check product,2,1,0,"examples"
ffx assembly size-check product --assembly-manifest,0,1,0,"examples|tests"
ffx assembly size-check product --auth,0,1,0,"examples|tests"
ffx assembly size-check product --base-assembly-manifest,0,1,0,"examples|tests"
ffx assembly size-check product --blobfs-creep-budget,0,1,0,"examples|tests"
ffx assembly size-check product --gerrit-output,0,1,0,"examples|tests"
ffx assembly size-check product --platform-resources-budget,0,1,0,"examples|tests"
ffx assembly size-check product --size-breakdown-output,0,1,0,"examples|tests"
ffx assembly size-check product --verbose,0,1,0,"examples|tests"
ffx assembly size-check product --visualization-dir,0,1,0,"examples|tests"
ffx audio,4,5,17,""
ffx audio device,8,1,11,""
ffx audio device --direction,0,1,2,"tests"
ffx audio device --name,0,1,6,"tests"
ffx audio device --token-id,0,1,1,"tests"
ffx audio device --type,0,1,2,"tests"
ffx audio device agc,0,1,0,"examples|tests"
ffx audio device gain,0,1,0,"examples|tests"
ffx audio device gain --gain,0,1,0,"examples|tests"
ffx audio device info,2,1,0,"examples"
ffx audio device list,0,1,2,"tests"
ffx audio device mute,0,1,0,"examples|tests"
ffx audio device play,0,1,2,"tests"
ffx audio device play --channels,0,1,0,"examples|tests"
ffx audio device play --element-id,0,1,0,"examples|tests"
ffx audio device play --file,0,1,0,"examples|tests"
ffx audio device record,0,1,0,"examples|tests"
ffx audio device record --duration,0,1,0,"examples|tests"
