element_id,tests,docs,examples,missing
cpp:src/storage/lib/vfs/cpp/connection/directory_connection.h#DirectoryConnection,0,0,0,"docs.reference|examples|tests"
cpp:src/storage/lib/vfs/cpp/connection/file_connection.h#FileConnection,0,0,0,"docs.reference|examples|tests"
cpp:src/storage/lib/vfs/cpp/connection/node_connection.h#NodeConnection,0,0,0,"docs.reference|examples|tests"
fuchsia.io,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Abilities,0,1,0,"examples|tests"
fuchsia.io/AdvisoryLocking,0,1,0,"examples|tests"
fuchsia.io/AdvisoryLocking.AdvisoryLock,0,1,0,"examples|tests"
fuchsia.io/ConnectionInfo,0,0,0,"docs.reference|examples|tests"
fuchsia.io/DIRECTORY_PROTOCOL_NAME,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Directory,0,1,0,"examples|tests"
fuchsia.io/Directory.AdvisoryLock,0,1,0,"examples|tests"
fuchsia.io/Directory.Clone,0,1,0,"examples|tests"
fuchsia.io/Directory.Clone2,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Directory.Close,0,1,0,"examples|tests"
fuchsia.io/Directory.CreateSymlink,0,1,0,"examples|tests"
fuchsia.io/Directory.DeprecatedClone,0,1,0,"examples|tests"
fuchsia.io/Directory.DeprecatedGetAttr,0,1,0,"examples|tests"
fuchsia.io/Directory.DeprecatedGetFlags,0,1,0,"examples|tests"
fuchsia.io/Directory.DeprecatedOpen,0,1,0,"examples|tests"
fuchsia.io/Directory.DeprecatedSetAttr,0,1,0,"examples|tests"
fuchsia.io/Directory.DeprecatedSetFlags,0,1,0,"examples|tests"
fuchsia.io/Directory.GetAttr,0,1,0,"examples|tests"
fuchsia.io/Directory.GetAttributes,4,1,0,"examples"
fuchsia.io/Directory.GetExtendedAttribute,0,1,0,"examples|tests"
fuchsia.io/Directory.GetFlags,0,2,0,"examples|tests"
fuchsia.io/Directory.GetToken,0,1,0,"examples|tests"
fuchsia.io/Directory.Link,0,1,0,"examples|tests"
fuchsia.io/Directory.ListExtendedAttributes,0,1,0,"examples|tests"
fuchsia.io/Directory.OnOpen,0,1,0,"examples|tests"
fuchsia.io/Directory.OnRepresentation,0,1,0,"examples|tests"
fuchsia.io/Directory.Open,0,2,0,"examples|tests"
fuchsia.io/Directory.Open3,0,1,0,"examples|tests"
fuchsia.io/Directory.Query,0,0,0,"docs.reference|examples|tests"
fuchsia.io/Directory.QueryFilesystem,0,1,0,"examples|tests"
fuchsia.io/Directory.ReadDirents,0,1,0,"examples|tests"
fuchsia.io/Directory.RemoveExtendedAttribute,0,1,0,"examples|tests"
fuchsia.io/Directory.Rename,0,1,0,"examples|tests"
fuchsia.io/Directory.Rewind,0,1,0,"examples|tests"
fuchsia.io/Directory.SetAttr,0,1,0,"examples|tests"
fuchsia.io/Directory.SetExtendedAttribute,0,1,0,"examples|tests"
fuchsia.io/Directory.SetFlags,0,2,0,"examples|tests"
fuchsia.io/Directory.Sync,0,1,0,"examples|tests"
fuchsia.io/Directory.Unlink,0,1,0,"examples|tests"
fuchsia.io/Directory.UpdateAttributes,1,1,0,"examples"
fuchsia.io/Directory.Watch,0,1,0,"examples|tests"
fuchsia.io/DirectoryInfo,0,0,0,"docs.reference|examples|tests"
fuchsia.io/DirectoryWatcher,0,1,0,"examples|tests"
fuchsia.io/DirentType,0,0,0,"docs.reference|examples|tests"
fuchsia.io/EmptyStruct,0,1,0,"examples|tests"
fuchsia.io/ExtendedAttributeIterator,0,0,0,"docs.reference|examples|tests"
fuchsia.io/ExtendedAttributeIterator.GetNext,0,1,0,"examples|tests"
fuchsia.io/ExtendedAttributeName,0,1,0,"examples|tests"
fuchsia.io/ExtendedAttributeValue,0,1,0,"examples|tests"
fuchsia.io/FILE_PROTOCOL_NAME,0,0,0,"docs.reference|examples|tests"
fuchsia.io/FLAG_TEMPORARY_AS_NOT_LINKABLE,0,1,0,"examples|tests"
fuchsia.io/File,0,1,0,"examples|tests"
fuchsia.io/File.AdvisoryLock,0,1,0,"examples|tests"
fuchsia.io/File.Allocate,0,1,0,"examples|tests"
fuchsia.io/File.Clone,0,1,0,"examples|tests"
fuchsia.io/File.Clone2,0,0,0,"docs.reference|examples|tests"
fuchsia.io/File.Close,0,1,0,"examples|tests"
fuchsia.io/File.DeprecatedClone,0,1,0,"examples|tests"
