element_id,tests,docs,examples,missing
pw_log/CRT,0,0,1,"docs.reference|tests"
pw_log/DBG,0,0,1,"docs.reference|tests"
pw_log/ERR,0,0,0,"docs.reference|examples|tests"
pw_log/INF,0,0,1,"docs.reference|tests"
pw_log/LOG,0,0,2,"docs.reference|tests"
pw_log/LOG_CRITICAL,0,0,0,"docs.reference|examples|tests"
pw_log/LOG_DEBUG,0,0,0,"docs.reference|examples|tests"
pw_log/LOG_ERROR,0,0,0,"docs.reference|examples|tests"
pw_log/LOG_IF,0,0,0,"docs.reference|examples|tests"
pw_log/LOG_INFO,0,0,0,"docs.reference|examples|tests"
pw_log/LOG_WARN,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG,0,0,2,"docs.reference|tests"
pw_log/PW_LOG_CFG_GLOG_BUFFER_SIZE_BYTES,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_CRITICAL,0,0,1,"docs.reference|tests"
pw_log/PW_LOG_DEBUG,0,0,2,"docs.reference|tests"
pw_log/PW_LOG_DEFAULT_FLAGS,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_ENABLE_IF,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_ENUM,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_ENUM_FMT,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_ERROR,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_EVERY_N,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_EVERY_N_DURATION,0,0,1,"docs.reference|tests"
pw_log/PW_LOG_FLAGS,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_FLAGS_DEFAULT,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_FLAG_BITS,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_INFO,0,0,6,"docs.reference|tests"
pw_log/PW_LOG_LEVEL,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_LEVEL_BITMASK,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_LEVEL_BITS,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_LEVEL_CRITICAL,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_LEVEL_DEBUG,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_LEVEL_DEFAULT,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_LEVEL_ERROR,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_LEVEL_FATAL,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_LEVEL_INFO,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_LEVEL_WARN,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_MODULE_NAME,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_NESTED_TOKEN_FMT,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_TOKEN,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_TOKEN_DEFAULT_VALUE,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_TOKEN_EXPR,0,0,2,"docs.reference|tests"
pw_log/PW_LOG_TOKEN_FMT,0,0,2,"docs.reference|tests"
pw_log/PW_LOG_TOKEN_TYPE,0,0,0,"docs.reference|examples|tests"
pw_log/PW_LOG_WARN,0,0,1,"docs.reference|tests"
pw_log/WRN,0,0,0,"docs.reference|examples|tests"
pw_log/_PW_LOG_GLOG,0,0,0,"docs.reference|examples|tests"
pw_log/_PW_LOG_GLOG_DECLARATION_DEBUG,0,0,0,"docs.reference|examples|tests"
pw_log/_PW_LOG_GLOG_DECLARATION_DFATAL,0,0,0,"docs.reference|examples|tests"
pw_log/_PW_LOG_GLOG_DECLARATION_ERROR,0,0,0,"docs.reference|examples|tests"
pw_log/_PW_LOG_GLOG_DECLARATION_FATAL,0,0,0,"docs.reference|examples|tests"
pw_log/_PW_LOG_GLOG_DECLARATION_INFO,0,0,0,"docs.reference|examples|tests"
pw_log/_PW_LOG_GLOG_DECLARATION_PW_CRASH,0,0,0,"docs.reference|examples|tests"
pw_log/_PW_LOG_GLOG_DECLARATION_PW_LOG,0,0,0,"docs.reference|examples|tests"
