element_id,tests,docs,examples,missing
pw_rpc/pw::internal::ConvertToStatus,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::internal::ConvertToValue,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::BenchmarkService,2,0,0,"docs.reference|examples"
pw_rpc/pw::rpc::BenchmarkService::BidirectionalEcho,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::BenchmarkService::UnaryEcho,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::ChangeEncodedChannelId,0,2,0,"examples|tests"
pw_rpc/pw::rpc::Channel,4,0,3,"docs.reference"
pw_rpc/pw::rpc::Channel::Channel,4,0,0,"docs.reference|examples"
pw_rpc/pw::rpc::Channel::Create,0,0,2,"docs.reference|tests"
pw_rpc/pw::rpc::ChannelOutput,1,3,1,""
pw_rpc/pw::rpc::ChannelOutput::ChannelOutput,1,0,0,"docs.reference|examples"
pw_rpc/pw::rpc::ChannelOutput::MaximumTransmissionUnit,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::ChannelOutput::Send,0,1,0,"examples|tests"
pw_rpc/pw::rpc::ChannelOutput::max,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::ChannelOutput::name,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::Client,17,2,3,""
pw_rpc/pw::rpc::Client::Client,17,0,0,"docs.reference|examples"
pw_rpc/pw::rpc::Client::ProcessPacket,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::ClientServer,3,0,1,"docs.reference"
pw_rpc/pw::rpc::ClientServer::ClientServer,3,0,0,"docs.reference|examples"
pw_rpc/pw::rpc::ClientServer::ProcessPacket,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::ClientServer::client,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::ClientServer::server,0,0,0,"docs.reference|examples|tests"
pw_rpc/pw::rpc::ExtractChannelId,5,0,0,"docs.reference|examples"
