element_id,tests,docs,examples,missing
pw_transfer/pw::transfer::AtomicFileTransferHandler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::AtomicFileTransferHandler::AtomicFileTransferHandler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::AtomicFileTransferHandler::FinalizeRead,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::AtomicFileTransferHandler::FinalizeWrite,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::AtomicFileTransferHandler::PrepareRead,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::AtomicFileTransferHandler::PrepareWrite,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Client,0,1,1,"tests"
pw_transfer/pw::transfer::Client::Client,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Client::Handle,0,0,1,"docs.reference|tests"
pw_transfer/pw::transfer::Client::Handle::Cancel,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Client::Handle::Handle,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Client::Handle::SetTransferSize,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Client::Read,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Client::Write,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Client::has_read_stream,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Client::has_write_stream,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Client::set_extend_window_divisor,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Client::set_max_lifetime_retries,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Client::set_max_retries,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Client::set_protocol_version,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Handler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Handler::FinalizeRead,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Handler::FinalizeWrite,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Handler::GetStatus,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Handler::Handler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Handler::PrepareRead,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Handler::PrepareWrite,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Handler::ResourceSize,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Handler::id,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::RateEstimate,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::RateEstimate::GetRateBytesPerSecond,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::RateEstimate::RateEstimate,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::RateEstimate::Reset,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::RateEstimate::Update,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::ReadOnlyHandler,0,0,1,"docs.reference|tests"
pw_transfer/pw::transfer::ReadOnlyHandler::PrepareRead,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::ReadOnlyHandler::PrepareWrite,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::ReadOnlyHandler::ReadOnlyHandler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::ReadWriteHandler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::ReadWriteHandler::PrepareRead,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::ReadWriteHandler::PrepareWrite,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::ReadWriteHandler::ReadWriteHandler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::ReadWriteHandler::set_reader_writer,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::Thread,0,1,1,"tests"
pw_transfer/pw::transfer::Thread::Thread,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferHandlerAllocator,0,0,1,"docs.reference|tests"
pw_transfer/pw::transfer::TransferHandlerAllocator::AllocateReadWriter,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferHandlerAllocator::AllocateReader,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferHandlerAllocator::AllocateWriter,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferHandlerAllocator::GetAllocatorSize,0,0,1,"docs.reference|tests"
pw_transfer/pw::transfer::TransferHandlerAllocator::HandlerEntry,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferHandlerAllocator::TransferHandlerAllocator,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferResource,0,0,1,"docs.reference|tests"
pw_transfer/pw::transfer::TransferResource::Close,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferResource::TransferResource,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferResource::bool,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferResource::resource_id,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferService,0,0,2,"docs.reference|tests"
pw_transfer/pw::transfer::TransferService::GetResourceStatus,2,0,0,"docs.reference|examples"
pw_transfer/pw::transfer::TransferService::Read,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferService::RegisterHandler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferService::TransferService,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferService::UnregisterHandler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferService::Write,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferService::set_chunk_timeout,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferService::set_extend_window_divisor,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferService::set_max_chunk_size_bytes,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferService::set_max_pending_bytes,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferService::set_max_retries,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::TransferService::set_max_window_size_bytes,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::WriteOnlyHandler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::WriteOnlyHandler::PrepareRead,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::WriteOnlyHandler::PrepareWrite,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::WriteOnlyHandler::WriteOnlyHandler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::AddTransferHandler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::CancelClientTransfer,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::CloseClientReadStream,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::CloseClientWriteStream,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::EndClientTransfer,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::EndServerTransfer,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::EnqueueResourceEvent,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::NotifyServerCompletion,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::OwnedClientStream,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::ProcessClientChunk,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::ProcessServerChunk,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::RemoveTransferHandler,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::SendServerStatus,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::SetClientReadStream,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::SetClientWriteStream,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::SetServerCompletionCallback,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::SetServerReadStream,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::SetServerWriteStream,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::SimulateClientTimeout,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::SimulateServerTimeout,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::StartClientTransfer,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::StartServerTransfer,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::Terminate,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::TransferThread,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::WaitUntilEventIsProcessed,0,0,0,"docs.reference|examples|tests"
pw_transfer/pw::transfer::internal::TransferThread::max_chunk_size,0,0,0,"docs.reference|examples|tests"
